state_name,state_fips,usregion,sub_region,state_abbr,sentiment,frequency,ep2019aug,ep2018aug,solarjobs2019,solarjobs2018,solarjobscapita2019,solarjobscapita2018,renewgenperc,marginalrpstargets,annavgrpstarget,netmindex,policiesincentives,avgannghi,shape_length,shape_area,pop2017,pop17_sqmi,pop2010,pop10_sqmi,white,black
Alabama,1,South,East South Central,AL,5.7446809,738,13,12,707,614,0,0,3,-3,0,0,33,5,17,13,4968383,96,4779736,93,3275394,1251311
Alaska,2,West,Pacific,AK,7,213,23,22,64,66,0,0,4,-4,0,8,33,3,408,278,750876,1,710231,1,473576,23263
Arizona,4,West,Mountain,AZ,7,1851,13,13,7777,7524,1,1,7,8,1,7,74,6,23,29,7132147,63,6392017,56,4667121,259008
Arkansas,5,South,West South Central,AR,8.5024147,207,10,10,329,369,0,0,4,-4,0,8,43,4,21,14,3067536,58,2915918,55,2245229,449895
California,6,West,Pacific,CA,8,11788,19,19,74255,76838,2,2,34,66,3,7,217,5,42,42,39806791,252,37253956,236,21453934,2299072
Colorado,8,West,Mountain,CO,8.2484207,2375,12,12,7174,6847,1,1,28,72,2,8,130,5,22,28,5711572,55,5029196,48,4089202,201737
Connecticut,9,Northeast,New England,CT,8.6916952,879,22,21,2234,2193,1,1,3,37,3,8,66,4,6,1,3631470,732,3574097,720,2772410,362296
Delaware,10,South,South Atlantic,DE,9,2274,13,12,495,468,1,0,3,22,3,8,32,4,4,1,988421,500,897934,455,618617,191814
District of Columbia,11,South,South Atlantic,DC,7.9005518,181,13,13,1051,1092,2,2,67,33,3,9,68,4,1,0,688642,11073,601723,9676,231471,305125
Florida,12,South,South Atlantic,FL,7.3757892,5072,12,12,12202,10358,1,0,4,-4,0,7,100,5,41,13,20875686,368,18801310,332,14109162,2999862
Georgia,13,South,South Atlantic,GA,7,1473,12,12,4798,3696,0,0,6,-6,0,4,54,5,20,15,10517229,179,9687653,165,5787440,2950435
Hawaii,15,West,Pacific,HI,8,402,33,32,2484,2120,2,1,15,85,3,6,29,5,12,1,1459668,227,1360301,212,336599,21424
Idaho,16,West,Mountain,ID,7.237237,333,10,10,512,557,0,0,28,-28,0,2,52,4,29,24,1760131,21,1567582,19,1396487,9810
Illinois,17,Midwest,East North Central,IL,8.125288,2171,13,13,5513,4879,0,0,11,-1,9,6,90,4,20,15,12970153,230,12830632,228,9177877,1866414
Indiana,18,Midwest,East North Central,IN,8.166667,1320,12,12,3600,3114,1,0,9,1,0,7,80,4,16,10,6762374,187,6483802,179,5467906,591397
Iowa,19,Midwest,West North Central,IA,8.0383797,469,13,12,869,844,0,0,62,-52,0,5,80,4,19,16,3219046,57,3046355,54,2781561,89148
Kansas,20,Midwest,West North Central,KS,7.1473851,631,13,14,887,896,0,0,55,-35,0,7,26,5,21,22,2970536,36,2853118,35,2391044,167864
Kentucky,21,South,East South Central,KY,7,548,11,11,1362,1410,0,0,1,-1,0,7,73,4,21,11,4548018,113,4339367,107,3809537,337520
Louisiana,22,South,West South Central,LA,7,532,10,10,3352,2950,1,1,2,-2,0,7,28,5,33,11,4825121,103,4533372,97,2836192,1452396
Maine,23,Northeast,New England,ME,8,359,18,17,639,635,0,0,55,45,1,7,31,4,19,10,1376094,42,1328361,41,1264971,15707
Maryland,24,South,South Atlantic,MD,8,1021,13,13,4854,4515,1,1,5,45,4,7,83,4,22,3,6119186,618,5773552,583,3359284,1700298
Massachusetts,25,Northeast,New England,MA,8.4131556,1733,22,22,10400,10210,2,1,12,23,2,6,99,4,13,2,6925129,855,6547629,808,5265236,434398
Michigan,26,Midwest,East North Central,MI,7.51933,1552,16,16,3876,4169,0,0,10,5,3,6,68,4,41,17,10057191,173,9883640,170,7803120,1400362
Minnesota,27,Midwest,West North Central,MN,8.2602549,1414,13,13,4335,4602,1,1,31,-5,0,7,186,4,30,26,5657912,67,5303925,63,4524062,274412
Mississippi,28,South,East South Central,MS,4.9624062,266,11,11,847,770,0,0,3,-3,0,4,34,5,22,12,3051594,64,2967297,62,1754684,1098385
Missouri,29,Midwest,West North Central,MO,7,722,11,12,2647,2819,0,0,7,8,4,6,79,4,24,19,6223738,89,5988927,86,4958770,693391
Montana,30,West,Mountain,MT,7.2549019,255,11,11,308,274,0,0,12,3,0,7,45,4,35,45,1068947,7,989415,7,884961,4027
Nebraska,31,Midwest,West North Central,NE,7,255,11,11,1332,1328,1,1,27,-27,0,7,42,4,23,22,1957158,25,1826341,24,1572838,82885
Nevada,32,West,Mountain,NV,7.9406781,1180,12,12,7000,6680,2,2,28,72,2,8,39,5,24,30,3025735,27,2700551,24,1786688,218626
New Hampshire,33,Northeast,New England,NH,7,301,20,20,1031,890,1,1,10,15,3,7,59,4,8,3,1374067,148,1316470,142,1236050,15035
New Jersey,34,Northeast,Middle Atlantic,NJ,8,1328,16,15,6225,6410,1,1,3,47,4,8,58,4,8,2,9112878,1207,8791894,1164,6029248,1204826
New Mexico,35,West,Mountain,NM,8.221797,523,13,13,2021,2168,1,1,28,72,3,7,56,6,24,31,2147526,18,2059179,17,1407876,42550
New York,36,Northeast,Middle Atlantic,NY,8,5650,18,19,10740,9729,1,0,8,42,4,4,118,4,28,14,20070143,413,19378102,399,12740974,3073800
North Carolina,37,South,South Atlantic,NC,7.54738,1794,12,11,6617,6719,1,1,12,1,0,8,95,4,35,13,10455604,212,9535483,193,6528950,2048628
North Dakota,38,Midwest,West North Central,ND,7,64,10,10,232,233,0,0,36,-26,0,6,31,4,21,22,797210,11,672591,10,605449,7960
Ohio,39,Midwest,East North Central,OH,7,1936,12,13,7282,7162,1,1,3,9,1,6,74,4,16,11,11772676,285,11536504,280,9539437,1407681
Oklahoma,40,South,West South Central,OK,6.2239089,527,10,10,849,838,0,0,46,-31,0,5,40,5,26,18,4035516,58,3751351,54,2706845,277644
Oregon,41,West,Pacific,OR,7.9058661,1466,11,11,3750,3654,1,1,18,32,2,7,146,4,25,28,4185014,43,3831074,40,3204614,69206
Pennsylvania,42,Northeast,Middle Atlantic,PA,7.779923,1554,14,14,4231,4219,0,0,4,5,3,6,68,4,17,13,12992598,287,12702379,280,10406288,1377689
Rhode Island,44,Northeast,New England,RI,8,127,22,20,1009,1007,1,1,8,31,2,6,43,4,4,0,1067528,982,1052567,968,856869,60189
South Carolina,45,South,South Atlantic,SC,6,589,13,13,3307,2983,1,1,3,-1,0,5,64,5,16,8,5108693,165,4625364,150,3060000,1290684
South Dakota,46,Midwest,West North Central,SD,7.3563218,87,11,12,448,444,1,0,27,-17,4,0,46,4,23,23,889876,12,814180,11,699392,10207
Tennessee,47,South,East South Central,TN,6.4878049,1025,11,11,4194,4690,1,1,2,-2,0,0,48,4,21,11,6818402,162,6346105,151,4921948,1057315
Texas,48,South,West South Central,TX,7,5989,12,11,10261,9612,0,0,25,-14,0,2,142,5,65,65,28954616,109,25145561,95,17701552,2979598
Utah,49,West,Mountain,UT,9,773,11,11,7107,6045,2,2,14,6,1,4,41,5,20,23,3183796,38,2763885,33,2379560,29287
Vermont,50,Northeast,New England,VT,8.1230774,325,17,18,1186,1229,2,2,43,32,2,6,49,4,8,3,643518,67,625741,65,596292,6277
Virginia,51,South,South Atlantic,VA,8.0621567,1641,12,12,4489,3890,1,0,6,9,2,6,50,4,31,11,8566397,214,8001024,200,5486852,1551399
Washington,53,West,Pacific,WA,8.4262762,2116,10,10,3781,4045,1,1,12,88,3,6,119,4,35,21,7452102,110,6724540,99,5196362,240042
West Virginia,54,South,South Atlantic,WV,7.2685189,216,11,11,340,341,0,0,5,-5,0,7,13,4,18,6,1895717,78,1852994,77,1739988,63124
